candidate_id,matched_skills,missing_skills,match_score,cv_preview
128,"python, sql",,100.0,"INFORMATION DESIGNER Summary of Qualifications Strong leadership, project management, System Administration and technical skills to meet the efficiency and optimization needs. Has 3+ years of professional experience in managing, developing and maintaining software systems, web applications, and data"
1754,"python, sql",,100.0,"SOFTWARE ENGINEERING ANALYST Skills Programming Languages: C, SQL, Python, R, Tableau developer Tools: HP ALM Quality center, HP QTP, MS office, Trello- Project management tool, Streak CRM. Accomplishments Certifications: Coursera Introduction to interactive programming using Python,Rice University;"
1760,"python, sql",,100.0,"ENGINEERING AND QUALITY TECHNICIAN Career Overview A highly experienced skilled graduate with Analytics degree with a very good experience in SAS, Web scraping, SQL, Predictive modelling and data visualization. Excellent ability in identifying data requirements for analysis, data cleaning, munging a"
1347,"python, sql",,100.0,"Highlights Prog. Languages: C (5+ yrs), Python (3+ yrs), Java (3+ yrs), MATLAB (Simulink) (5+ yrs), R (2 yrs), Processing (2yrs), SQL(4+ yrs), PLC(2 yrs) Doc. Editing: Word/PPT/Excel, Pages/Numbers/Keynote, LATEX Mechanical Design: AutoCAD (6 yrs), Solidworks (5+ yrs) Mechanical Skills: MakerBot 3D "
1217,"python, sql",,100.0,"Pavithra Shetty Summary Customer-oriented Principal Consultant knowledgeable about developing and implementing successful business solutions that drive productivity and growth. Offering expertise in SQL, Data Visualization, Scripting language and more than 6 years of experience in the software indus"
1206,"python, sql",,100.0,"PRINCIPAL CONSULTANT Professional Summary Financial/Business Analyst with over fifteen years of experience in the financial sector. Proven problem solver specializing in operational workflow designing and streamlining. Deliverer of best practices as Subject Matter Expert in Front, Middle, and Back O"
1302,"python, sql",,100.0,"SENIOR DIGITAL MARKETING ANALYST Summary Highly analytical and process-oriented data analyst with in-depth knowledge of marketing project management, data manipulation and visualization. Furnish insights, analytics and business intelligence to advance opportunity identification, process reengineerin"
1338,"python, sql",,100.0,"DATA ANALYST Professional Summary Industrial and Systems Engineering graduate, certified Base SAS Programmer and a Lean Six Sigma Green Belt with strong background in statistics, mathematics and logical problem solving looking for a dynamic opportunity in data driven fields of analytics and statisti"
1693,"python, sql",,100.0,TEST ENGINEERING Profile I am seeking the challenging position with a technology company that will allow me to apply and enhance my skills of being Test Engineer to their fullest potential. Possessing over 10 years of experience in the electronics manufacturing and test engineering environment can b
1715,"python, sql",,100.0,"ENGINEERING INTERN Skills C++, Python, MATLAB, Git, Bash, R, SQL (basic). Experienced in Linux/Unix and using high performance computing clusters. Machine Learning Tools and Libraries: Scikit-learn, Pandas, Seaborn, matplotlib, TensorFlow (basic). (I built a XGBoost model that has 77.5% accuracy in "
1748,"python, sql",,100.0,"QA ENGINEERING MANAGER Professional Summary Seasoned Engineering Manager with ability to build and motivate high-performing engineering team with over 14+ years of experience in cards and payments industry, committed to rapidly and efficiently completing projects by leveraging team-based frameworks "
1171,"python, sql",,100.0,CONSULTANT Highlights TECHNOLOGY SKILLS Visual Basic * HTML * JavaScript * SQL * XML * Python * MVC * FileMaker * PHP * Advanced Excel * SiteCatalyst CORE COMPETENCIES Problem Solving * Relational Databases * Process Reengineering * Customer Relations * Staff Management Startups & Transitional Envir
661,"python, sql",,100.0,BUSINESS DEVELOPMENT EXECUTIVE Summary Process oriented Data Analyst and Delivery Lead with 5+ years proven track record of analyzing Business Intelligence to increase top line and bottom line of the business vertical. Reduced costs of manufacturing signaling systems by 10% and increased sales by 25
928,"python, sql",,100.0,"VP, PRINCIPAL Summary I am highly skilled,growth mindset IT professional having more than 20 years experience mostly in financial industry related with providing advanced data solutions using innovative database technology. Very innovative,creative, great problem solver and have achieved the highest"
925,"python, sql",,100.0,"SOFTWARE DEVELOPER Professional Summary Enthusiastic computer engineer eager to contribute to team success through hard work, attention to detail and excellent organizational skills. Technical professional with complete understanding of entire software development life cycle. Respectful self-motivat"
843,"python, sql",,100.0,"MECHANICAL DESIGN ENGINEER INTERN Summary Over 2 years of combined professional and educational experience in 3D Modelling and Product Design 1 year of hands-on experience in FEA, Stress Analysis, Numerical Modelling and Static / Dynamic Analysis Certified in Product Design / Analysis, Engineering M"
1151,"python, sql",,100.0,"IT CONSULTANT Career Overview Director of Information Technology More than two decades of sound IT leadership in areas including IT strategy and security; systems analysis, architecting, installation, integration and streamlining; software development and management; network design, administration a"
315,"python, sql",,100.0,"WORKING RF SYSTEMS ENGINEER Qualifications Microsoft office/Office for Mac, pages, numbers, keynote · RF/Microwave software: Ansoft Designer, AWR Microwave Office. · RF test instruments: Spectrum analyzer, Vector Network/Signal Analyzer, Logic Analyzer, etc. · Programming language: C/C++, Python, Ja"
291,"python, sql",,100.0,"EA INFORMATION TECHNOLOGY SPECIALIST III (DRUPAL DEV) Summary Drupal developer with five years of experience in site building, and frontend and backend development. Skills in theming, as well. Driven to provide excellent service and high-quality coding to create secure and functional sites for clien"
267,"python, sql",,100.0,"DIRECTOR OF INFORMATION TECHNOLOGY Professional Summary Dynamic Information Technology Manager with 13 years of IT leadership experience including oversight of infrastructure, application support and cybersecurity services. Dedicated to customer satisfaction with focused delivery of technical soluti"
2393,"python, sql",,100.0,"SOFTWARE ENGINEERING CO-OP Summary Highly skilled and Accomplished computer software specialist with more than 7+ years of technical experience in programming development across multiple platforms, software design, development and integration. Advanced knowledge of MySQL, CSS, C++ with expertise in "
1730,"python, sql",,100.0,"ENGINEERING INTERN Personal Summary Age -22 years Permanenet Residency of Australia and New Zealand Citizen ​Currently Living in Sydney Australia . Knowledge Base C/Python R STK CATIA ANSYS LaTeX SolidWorks Microsoft Office Microsoft Project Academic Background High School Diploma , MATHEMATICS,PHYS"
1797,"python, sql",,100.0,ENGINEERING OPERATIONS DIRECTOR Executive Profile Senior Software Executive Senior Software Executive who is a key contributor to strategic planning and product development. Highly skilled at creating and implementing key software improvements and process changes by uncovering major process limitati
2151,"python, sql",,100.0,"CORPORATE BANKING ASSISTANT, INTERN Objective Dynamic and self-motivated Financial Data Analyst with diverse expertise in programming, mathematics and finance. Has extensive experience of assisting in the development and upgrading of database systems and analytical techniques. A quick learner who ca"
242,sql,python,50.0,ADMINISTRATOR OF INFORMATION TECHNOLOGY Summary Advanced Desktop Support Lead/Manager with 14 plus years of experience in the Information Technology field providing Tier II - III technical support. I have demonstrated highly advanced troubleshooting techniques in resolving end-user issues with swift
241,sql,python,50.0,"INFORMATION TECHNOLOGY MANAGER Professional Summary Possesses an extensive background in Information Technology Management, along with a Masters of Science degree and multiple certifications. Excels in planning, implementing, and evaluating the systems, infrastructure, and staffing necessary to exec"
239,sql,python,50.0,"VP OF INFORMATION TECHNOLOGY Executive Profile A results oriented technology leader with over 18 years of IT experience, 8 years of supervisory experience. Passionate about collaborating with key stakeholders to develop information technology vision and strategy by effectively building organization,"
227,sql,python,50.0,"INFORMATION TECHNOLOGY MANAGER Experience Information Technology Manager April 2007 to Current Company Name － City , State Annual budget planning for department, network administration, implementation of new technology, developed company applications, daily backups and technical support for 80 users"
224,sql,python,50.0,"DIRECTOR OF INFORMATION TECHNOLOGY Career Overview Seeking a position as a Director of I.T. in a company where I am able to utilize my experience and training in networking, troubleshooting, and customer relations. Qualifications Networking - Nexus 7K, UCS, UCCX, Cisco Call Manager, Cisco Unity, Cis"
